"id,nameWithOwner,url,stargazersTotalCount,issuesTotalCount"
"MDEwOlJlcG9zaXRvcnk2MzgzMjA4OQ==,lengstrom/fast-style-transfer,https://github.com/lengstrom/fast-style-transfer,{'totalCount': 9037},{'totalCount': 191}"
"MDEwOlJlcG9zaXRvcnk1MDgwMzYxMA==,Rochester-NRT/RocAlphaGo,https://github.com/Rochester-NRT/RocAlphaGo,{'totalCount': 9027},{'totalCount': 124}"
"MDEwOlJlcG9zaXRvcnk3MTA1Njc3NQ==,kovidgoyal/kitty,https://github.com/kovidgoyal/kitty,{'totalCount': 8927},{'totalCount': 2117}"
"MDEwOlJlcG9zaXRvcnk5NTA2Nzg4NA==,pyecharts/pyecharts,https://github.com/pyecharts/pyecharts,{'totalCount': 8903},{'totalCount': 1208}"
"MDEwOlJlcG9zaXRvcnkxMzY3Mjc0NzE=,nbedos/termtosvg,https://github.com/nbedos/termtosvg,{'totalCount': 8823},{'totalCount': 83}"
"MDEwOlJlcG9zaXRvcnk2ODEyNTkzMQ==,ShangtongZhang/reinforcement-learning-an-introduction,https://github.com/ShangtongZhang/reinforcement-learning-an-introduction,{'totalCount': 8637},{'totalCount': 78}"
"MDEwOlJlcG9zaXRvcnkxNzk4OTM0OTQ=,ddbourgin/numpy-ml,https://github.com/ddbourgin/numpy-ml,{'totalCount': 8627},{'totalCount': 25}"
"MDEwOlJlcG9zaXRvcnkxMzY5MTQ1MjQ=,flairNLP/flair,https://github.com/flairNLP/flair,{'totalCount': 8576},{'totalCount': 1121}"
"MDEwOlJlcG9zaXRvcnkxMDI5MDQ2MTM=,Unity-Technologies/ml-agents,https://github.com/Unity-Technologies/ml-agents,{'totalCount': 8504},{'totalCount': 2176}"
"MDEwOlJlcG9zaXRvcnk5MTM1NjQwOA==,allenai/allennlp,https://github.com/allenai/allennlp,{'totalCount': 8456},{'totalCount': 1895}"
"MDEwOlJlcG9zaXRvcnk2NTU5MzA1MA==,h2y/Shadowrocket-ADBlock-Rules,https://github.com/h2y/Shadowrocket-ADBlock-Rules,{'totalCount': 8445},{'totalCount': 234}"
"MDEwOlJlcG9zaXRvcnkxNzUzNjYxNTU=,shengqiangzhang/examples-of-web-crawlers,https://github.com/shengqiangzhang/examples-of-web-crawlers,{'totalCount': 8392},{'totalCount': 83}"
"MDEwOlJlcG9zaXRvcnk4ODI4NTMyMg==,hindupuravinash/the-gan-zoo,https://github.com/hindupuravinash/the-gan-zoo,{'totalCount': 8391},{'totalCount': 29}"
"MDEwOlJlcG9zaXRvcnk3MDkwODIwOA==,RasaHQ/rasa,https://github.com/RasaHQ/rasa,{'totalCount': 8382},{'totalCount': 3990}"
"MDEwOlJlcG9zaXRvcnk4NzA2NzIxMg==,deepmind/sonnet,https://github.com/deepmind/sonnet,{'totalCount': 8310},{'totalCount': 133}"
"MDEwOlJlcG9zaXRvcnkxNTQ3Mzk1OTc=,google/jax,https://github.com/google/jax,{'totalCount': 8177},{'totalCount': 1215}"
"MDEwOlJlcG9zaXRvcnk3MDAzNjMxOQ==,rushter/MLAlgorithms,https://github.com/rushter/MLAlgorithms,{'totalCount': 8034},{'totalCount': 21}"
"MDEwOlJlcG9zaXRvcnk1OTk0NDQ1NQ==,MorvanZhou/tutorials,https://github.com/MorvanZhou/tutorials,{'totalCount': 8017},{'totalCount': 65}"
"MDEwOlJlcG9zaXRvcnk1NTA1ODMxNw==,threat9/routersploit,https://github.com/threat9/routersploit,{'totalCount': 7963},{'totalCount': 367}"
"MDEwOlJlcG9zaXRvcnkxNTcxOTg2MjM=,hanxiao/bert-as-service,https://github.com/hanxiao/bert-as-service,{'totalCount': 7496},{'totalCount': 422}"
"MDEwOlJlcG9zaXRvcnkxNzUwNTIyMjU=,sfyc23/EverydayWechat,https://github.com/sfyc23/EverydayWechat,{'totalCount': 7357},{'totalCount': 174}"
"MDEwOlJlcG9zaXRvcnkxNDQ3ODIwNDQ=,NVIDIA/vid2vid,https://github.com/NVIDIA/vid2vid,{'totalCount': 7323},{'totalCount': 137}"
"MDEwOlJlcG9zaXRvcnk4MDA0MTA5MA==,facebookresearch/visdom,https://github.com/facebookresearch/visdom,{'totalCount': 7309},{'totalCount': 470}"
"MDEwOlJlcG9zaXRvcnk2NjU1NzQ3OA==,sylnsfar/qrcode,https://github.com/sylnsfar/qrcode,{'totalCount': 7265},{'totalCount': 51}"
"MDEwOlJlcG9zaXRvcnk3NTU2Njk5Mw==,openai/universe,https://github.com/openai/universe,{'totalCount': 7193},{'totalCount': 193}"
"MDEwOlJlcG9zaXRvcnkxMTY3OTczMTE=,Embedding/Chinese-Word-Vectors,https://github.com/Embedding/Chinese-Word-Vectors,{'totalCount': 7164},{'totalCount': 111}"
